race_id,safety_car_count,virtual_safety_car_count,red_flag_count,yellow_flag_count,double_yellow_count,black_flag_count,track_limits_count,investigation_count,penalty_count,incident_count,race_control_messages_count,race_control_data_available,total_dnf_count,classified_driver_count,race_disruption_score
2015_14,0,0,0,0,0,0,0,0,0,0,0,0,1,19,1
2015_15,0,0,0,0,0,0,0,0,0,4,0,0,7,13,11
2015_16,0,0,0,0,0,0,0,0,0,2,0,0,8,12,10
2015_17,0,0,0,0,0,0,0,0,0,2,0,0,4,16,6
2015_18,0,0,0,0,0,0,0,0,0,0,0,0,2,18,2
2015_19,0,0,0,0,0,0,0,0,0,1,0,0,1,19,2
2016_01,0,0,0,0,0,0,0,0,0,2,0,0,6,16,8
2016_02,0,0,0,0,0,0,0,0,0,0,0,0,5,17,5
2016_03,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
2016_04,0,0,0,0,0,0,0,0,0,3,0,0,4,18,7
2016_05,0,0,0,0,0,0,0,0,0,2,0,0,5,17,7
2016_06,0,0,0,0,0,0,0,0,0,5,0,0,7,15,12
2016_07,0,0,0,0,0,0,0,0,0,0,0,0,3,19,3
2016_08,0,0,0,0,0,0,0,0,0,0,0,0,4,18,4
2016_09,0,0,0,0,0,0,0,0,0,0,0,0,6,16,6
2016_10,0,0,0,0,0,0,0,0,0,2,0,0,6,16,8
2016_11,0,0,0,0,0,0,0,0,0,0,0,0,1,21,1
2016_12,0,0,0,0,0,0,0,0,0,0,0,0,2,20,2
2016_13,0,0,0,0,0,0,0,0,0,3,0,0,5,17,8
2016_14,0,0,0,0,0,0,0,0,0,2,0,0,4,18,6
2016_15,0,0,0,0,0,0,0,0,0,1,0,0,4,18,5
2016_16,0,0,0,0,0,0,0,0,0,1,0,0,6,16,7
2016_17,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
2016_18,0,0,0,0,0,0,0,0,0,1,0,0,4,18,5
2016_19,0,0,0,0,0,0,0,0,0,1,0,0,1,21,2
2016_20,0,0,0,0,0,0,0,0,0,4,0,0,6,16,10
2016_21,0,0,0,0,0,0,0,0,0,1,0,0,5,17,6
2017_01,0,0,0,0,0,0,0,0,0,0,0,0,7,13,7
2017_02,0,0,0,0,0,0,0,0,0,2,0,0,5,15,7
2017_03,0,0,0,0,0,0,0,0,0,2,0,0,7,13,9
2017_04,0,0,0,0,0,0,0,0,0,2,0,0,4,16,6
2017_05,0,0,0,0,0,0,0,0,0,3,0,0,4,16,7
2017_06,0,0,0,0,0,0,0,0,0,5,0,0,7,13,12
2017_07,0,0,0,0,0,0,0,0,0,2,0,0,5,15,7
2017_08,0,0,0,0,0,0,0,0,0,1,0,0,7,13,8
