race_id,driver_id,races_with_lap_data_previous_3,avg_lap_time_previous_3_races,best_lap_time_previous_3_races,lap_time_std_previous_3_races,avg_race_pace_rank_previous_3_races,avg_completed_laps_previous_3_races
2010_09,petrov,3,81.67433333333334,76.405,5.4409031929961325,8.333333333333334,66.0
2010_09,michael_schumacher,3,81.65566666666666,75.58,5.992432245943399,8.333333333333334,68.33333333333333
2010_09,liuzzi,3,82.30399999999999,76.142,6.57829658802338,12.666666666666666,68.0
2010_09,grassi,3,85.81633333333333,81.937,5.262947294266043,21.333333333333332,48.333333333333336
2010_09,chandhok,3,85.34066666666666,79.553,6.605637205363981,21.333333333333332,62.666666666666664
2010_09,glock,3,84.903,80.775,5.218498634664954,20.0,44.0
2010_09,bruno_senna,3,86.30033333333334,80.13,5.898527631724907,21.333333333333332,39.333333333333336
2010_09,trulli,3,84.86466666666666,79.34,6.812848270404641,20.0,49.666666666666664
2010_09,hulkenberg,3,,,5.853999999999999,12.0,63.0
2010_09,kovalainen,3,84.47266666666667,78.401,7.053747105065665,18.0,53.0
2010_09,webber,3,80.88699999999999,75.318,5.987173679347096,3.0,68.66666666666667
2010_10,webber,3,90.469,78.148,10.61844530365282,10.0,45.333333333333336
2010_10,hamilton,3,89.01233333333334,77.806,8.748431110141347,6.0,61.666666666666664
2010_10,rosberg,3,89.229,77.832,9.015769776711622,7.0,61.666666666666664
2010_10,button,3,88.935,78.144,8.44621891736178,4.0,61.666666666666664
2010_10,barrichello,3,89.86566666666666,79.175,8.327426546592227,10.666666666666666,61.0
2010_10,kobayashi,3,,90.891,4.312999999999995,11.0,38.666666666666664
2010_10,vettel,3,89.24633333333334,78.417,8.486312325674145,8.0,55.333333333333336
2010_10,sutil,3,89.76400000000001,79.53,8.2775661076591,9.666666666666666,61.333333333333336
2010_10,michael_schumacher,3,89.45166666666667,79.577,7.920396552923066,7.333333333333333,61.333333333333336
2010_10,hulkenberg,3,90.10733333333333,78.912,8.939009689122292,13.666666666666666,58.333333333333336
2010_10,liuzzi,3,90.35833333333335,79.349,8.588186821960088,14.333333333333334,61.0
2010_10,buemi,3,89.81866666666667,79.78399999999999,8.28904519364096,10.333333333333334,61.0
2010_10,petrov,3,89.57266666666665,79.453,8.434030129316717,8.333333333333334,60.666666666666664
2010_10,alonso,3,89.36899999999999,78.207,8.863272683758899,9.0,61.666666666666664
2010_10,massa,3,89.50966666666666,78.325,8.94031365345882,10.0,61.333333333333336
2010_10,trulli,3,92.34133333333334,80.791,8.69504503853903,20.0,44.0
2010_10,kovalainen,3,93.71566666666666,80.654,10.410601146054065,21.333333333333332,36.333333333333336
2010_10,glock,3,92.08433333333333,81.669,8.431295089657871,19.333333333333332,55.0
2010_10,chandhok,3,93.42966666666666,81.884,8.992519866842413,22.333333333333332,57.666666666666664
2010_10,yamamoto,0,0.0,0.0,0.0,0.0,0.0
2010_10,alguersuari,3,89.90133333333334,79.842,8.366977006196576,11.333333333333334,61.333333333333336
2010_10,rosa,3,90.47500000000001,80.574,8.106267986358873,15.666666666666666,48.666666666666664
2010_10,kubica,3,88.69800000000002,76.97200000000001,9.235246540654266,4.0,61.666666666666664
2010_10,grassi,3,92.536,81.937,8.375231857487092,20.666666666666668,58.666666666666664
2010_11,alonso,3,89.65666666666668,78.207,8.893394789892604,5.666666666666667,59.666666666666664
2010_11,massa,3,90.05966666666667,78.325,9.0038422292313,7.333333333333333,59.333333333333336
2010_11,vettel,3,89.84166666666665,78.417,8.592974856758799,4.666666666666667,59.666666666666664
2010_11,hamilton,3,89.90666666666665,77.806,8.946254386923927,4.0,59.666666666666664
2010_11,button,3,89.971,78.144,8.6875961001879,4.666666666666667,59.666666666666664
2010_11,webber,3,91.52533333333334,78.148,10.596769486761309,10.666666666666666,43.333333333333336
2010_11,kubica,3,91.12,76.97200000000001,10.06450965853114,9.666666666666666,48.666666666666664
2010_11,rosberg,3,90.22066666666666,77.832,9.205131370901537,6.333333333333333,59.666666666666664
2010_11,michael_schumacher,3,90.90533333333333,79.577,8.246257912262726,10.333333333333334,59.333333333333336
2010_11,petrov,3,90.67899999999999,79.453,8.52518508107986,9.666666666666666,59.0
2010_11,kobayashi,3,,,2.9794999999999945,8.0,36.666666666666664
2010_11,barrichello,3,90.75966666666666,79.175,8.535390845701732,8.666666666666666,59.333333333333336
2010_11,hulkenberg,3,91.23033333333335,78.912,9.142188007012082,13.0,56.666666666666664
2010_11,rosa,3,92.29566666666666,80.574,8.493797907231425,16.666666666666668,39.0
2010_11,alguersuari,3,91.30566666666665,79.842,8.539420368047367,14.333333333333334,56.666666666666664
2010_11,liuzzi,3,91.224,79.349,8.780406634471246,13.0,59.333333333333336
2010_11,sutil,3,91.22333333333334,79.53,8.564259934298013,12.333333333333334,59.333333333333336
2010_11,glock,3,93.46766666666667,81.669,8.684112133980975,19.333333333333332,53.333333333333336
2010_11,bruno_senna,3,93.89933333333335,84.524,7.5170143156856,21.666666666666668,38.333333333333336
2010_11,kovalainen,3,94.34499999999998,80.654,10.487493218114613,20.0,42.333333333333336
