race_id,fastf1_race_control_available,fastf1_race_control_messages_count,fastf1_safety_car_count,fastf1_virtual_safety_car_count,fastf1_red_flag_count,fastf1_yellow_flag_count,fastf1_double_yellow_count,fastf1_black_flag_count,fastf1_track_limits_count,fastf1_investigation_count,fastf1_penalty_count,fastf1_incident_count,fastf1_drs_disabled_count,fastf1_deleted_lap_count,fastf1_slippery_track_count,fastf1_clear_count,fastf1_race_disruption_score
2024_03,1,82.0,0.0,2.0,1.0,13.0,8.0,0.0,2.0,6.0,1.0,8.0,1.0,1.0,0.0,10.0,48.0
2024_04,1,66.0,0.0,0.0,2.0,5.0,1.0,0.0,10.0,6.0,0.0,8.0,1.0,10.0,2.0,7.0,25.0
2024_05,1,56.0,2.0,1.0,1.0,6.0,3.0,0.0,5.0,16.0,3.0,20.0,1.0,5.0,1.0,8.0,48.0
2024_06,1,75.0,1.0,1.0,1.0,3.0,2.0,2.0,24.0,20.0,4.0,21.0,1.0,20.0,3.0,8.0,40.0
2024_07,1,98.0,0.0,0.0,1.0,3.0,1.0,1.0,12.0,4.0,1.0,4.0,1.0,11.0,0.0,3.0,14.0
2024_08,1,118.0,0.0,0.0,2.0,14.0,8.0,0.0,5.0,6.0,1.0,7.0,1.0,5.0,0.0,14.0,47.0
2024_09,1,128.0,2.0,0.0,1.0,17.0,5.0,1.0,33.0,21.0,1.0,22.0,1.0,29.0,4.0,18.0,62.0
2024_10,1,105.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,16.0,3.0,16.0,1.0,13.0,0.0,1.0,21.0
2024_11,1,124.0,0.0,1.0,1.0,1.0,0.0,1.0,20.0,20.0,6.0,24.0,1.0,14.0,0.0,2.0,33.0
2024_12,1,108.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,2.0,0.0,2.0,3.0,9.0,11.0,12.0,7.0
2024_13,1,75.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,4.0,0.0,5.0,1.0,5.0,0.0,1.0,11.0
2024_14,1,21.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,2.0,0.0,2.0,1.0,10.0,0.0,1.0,8.0
2024_15,1,82.0,0.0,0.0,1.0,3.0,2.0,0.0,4.0,4.0,1.0,4.0,1.0,4.0,0.0,3.0,16.0
2024_16,1,59.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,8.0,6.0,10.0,1.0,12.0,0.0,0.0,15.0
2024_17,1,115.0,0.0,1.0,1.0,20.0,8.0,0.0,2.0,12.0,0.0,12.0,1.0,2.0,8.0,48.0,56.0
2024_18,1,61.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,4.0,0.0,4.0,1.0,15.0,0.0,0.0,9.0
2024_19,1,119.0,1.0,0.0,1.0,7.0,3.0,5.0,48.0,14.0,4.0,14.0,1.0,43.0,2.0,7.0,36.0
2024_20,1,119.0,1.0,0.0,1.0,22.0,17.0,0.0,11.0,14.0,4.0,17.0,1.0,11.0,2.0,19.0,82.0
2024_21,1,107.0,2.0,1.0,2.0,19.0,14.0,1.0,21.0,20.0,2.0,22.0,1.0,21.0,0.0,19.0,90.0
2024_22,1,35.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,8.0,1.0,8.0,1.0,8.0,0.0,1.0,14.0
2024_23,1,113.0,3.0,1.0,1.0,14.0,8.0,0.0,18.0,28.0,7.0,31.0,1.0,18.0,6.0,10.0,81.0
2024_24,1,130.0,0.0,1.0,1.0,12.0,7.0,3.0,34.0,19.0,6.0,22.0,1.0,27.0,1.0,13.0,56.0
2025_01,1,113.0,3.0,0.0,1.0,21.0,14.0,0.0,8.0,12.0,3.0,16.0,1.0,7.0,6.0,23.0,82.0
2025_02,1,56.0,0.0,0.0,1.0,11.0,7.0,0.0,5.0,12.0,1.0,12.0,1.0,3.0,1.0,9.0,42.0
2025_03,1,23.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,6.0,0.0,6.0,1.0,8.0,0.0,0.0,11.0
2025_04,1,91.0,1.0,0.0,1.0,2.0,2.0,6.0,45.0,22.0,6.0,24.0,1.0,31.0,3.0,6.0,39.0
2025_05,1,65.0,1.0,0.0,1.0,9.0,6.0,1.0,14.0,10.0,3.0,10.0,1.0,12.0,0.0,5.0,40.0
2025_06,1,77.0,0.0,3.0,1.0,17.0,12.0,0.0,4.0,16.0,1.0,16.0,1.0,4.0,1.0,15.0,71.0
2025_07,1,44.0,1.0,1.0,1.0,8.0,3.0,0.0,3.0,8.0,0.0,9.0,1.0,3.0,0.0,6.0,35.0
2025_08,1,196.0,0.0,1.0,1.0,6.0,4.0,0.0,14.0,10.0,2.0,10.0,1.0,14.0,0.0,7.0,32.0
2025_09,1,100.0,1.0,0.0,1.0,3.0,2.0,0.0,10.0,18.0,4.0,22.0,1.0,10.0,0.0,2.0,38.0
2025_10,1,97.0,1.0,0.0,1.0,6.0,2.0,0.0,10.0,14.0,2.0,14.0,1.0,9.0,3.0,8.0,33.0
2025_11,1,117.0,1.0,0.0,1.0,10.0,2.0,0.0,11.0,14.0,3.0,18.0,1.0,11.0,0.0,10.0,41.0
2025_12,1,158.0,2.0,2.0,1.0,44.0,12.0,0.0,15.0,14.0,4.0,16.0,2.0,14.0,3.0,41.0,103.0
2025_13,1,116.0,0.0,0.0,2.0,27.0,22.0,1.0,15.0,0.0,0.0,0.0,1.0,13.0,12.0,40.0,81.0
2025_14,1,96.0,0.0,0.0,1.0,2.0,0.0,0.0,15.0,13.0,4.0,15.0,1.0,15.0,0.0,2.0,22.0
2025_15,0,,,,,,,,,,,,,,,,
2025_16,0,,,,,,,,,,,,,,,,
2025_17,0,,,,,,,,,,,,,,,,
2025_18,0,,,,,,,,,,,,,,,,
2025_19,0,,,,,,,,,,,,,,,,
2025_20,0,,,,,,,,,,,,,,,,
2025_21,0,,,,,,,,,,,,,,,,
2025_22,0,,,,,,,,,,,,,,,,
2025_23,0,,,,,,,,,,,,,,,,
2025_24,0,,,,,,,,,,,,,,,,
2026_01,1,167.0,0.0,3.0,1.0,13.0,9.0,0.0,5.0,14.0,2.0,17.0,0.0,5.0,1.0,15.0,62.0
2026_02,1,86.0,1.0,0.0,1.0,13.0,8.0,0.0,5.0,12.0,2.0,14.0,0.0,5.0,5.0,16.0,52.0
2026_03,1,47.0,1.0,0.0,1.0,4.0,2.0,1.0,7.0,4.0,0.0,4.0,0.0,6.0,0.0,6.0,21.0
2026_04,1,176.0,1.0,0.0,1.0,36.0,17.0,2.0,18.0,30.0,2.0,33.0,0.0,16.0,2.0,24.0,112.0
