race_id,driver_id,races_count_previous_5,top10_finishes_previous_5,top10_rate_previous_5,points_previous_5,avg_points_previous_5,points_finishes_previous_5,avg_finish_position_previous_5,avg_grid_position_previous_5,best_finish_previous_5,worst_finish_previous_5,avg_laps_completed_previous_5,dnf_previous_5
2012_02,button,5,5,1.0,85.0,17.0,5,2.6,3.0,1,4,59.8,0
2012_02,massa,5,3,0.6,28.0,5.6,3,10.6,8.0,5,20,51.8,2
2012_02,petrov,5,1,0.2,1.0,0.2,1,15.2,14.0,10,23,46.6,2
2012_02,glock,5,0,0.0,0.0,0.0,0,19.6,21.2,14,24,37.4,2
2012_02,kovalainen,5,0,0.0,0.0,0.0,0,15.8,18.2,14,18,54.6,1
2012_02,maldonado,5,0,0.0,0.0,0.0,0,18.8,15.6,13,23,35.8,4
2012_02,pic,1,0,0.0,0.0,0.0,0,15.0,21.0,15,15,53.0,0
2012_02,karthikeyan,5,0,0.0,0.0,0.0,0,19.2,22.8,17,24,63.0,0
2012_02,rosa,1,0,0.0,0.0,0.0,0,12.0,17.0,12,12,70.0,0
2012_02,kobayashi,5,3,0.6,11.0,2.2,3,12.8,15.2,6,24,47.2,1
2012_02,grosjean,1,0,0.0,0.0,0.0,0,21.0,3.0,21,21,1.0,1
2012_03,rosberg,5,3,0.6,22.0,4.4,3,8.8,6.8,6,13,59.8,0
2012_03,button,5,4,0.8,73.0,14.6,4,4.6,2.8,1,14,60.0,0
2012_03,hamilton,5,4,0.8,61.0,12.2,4,7.2,2.6,1,22,55.0,1
2012_03,webber,5,5,1.0,73.0,14.6,5,3.4,3.4,1,4,60.0,0
2012_03,vettel,5,3,0.6,61.0,12.2,3,8.0,2.8,1,24,49.2,1
2012_03,grosjean,2,0,0.0,0.0,0.0,0,22.5,4.5,21,24,2.0,2
2012_03,bruno_senna,5,1,0.2,8.0,1.6,1,13.4,12.8,6,17,58.0,1
2012_03,maldonado,5,0,0.0,0.0,0.0,0,18.2,14.6,13,23,40.6,4
2012_03,alonso,5,5,1.0,80.0,16.0,5,3.0,6.6,1,5,60.0,0
2012_03,kobayashi,5,3,0.6,11.0,2.2,3,14.4,15.8,6,24,45.6,2
2012_03,perez,5,3,0.6,23.0,4.6,3,8.8,15.8,2,13,59.4,0
2012_03,resta,5,4,0.8,13.0,2.6,4,9.4,12.4,7,13,59.6,0
2012_03,massa,5,2,0.4,20.0,4.0,2,12.4,9.4,5,20,52.0,2
2012_03,raikkonen,2,2,1.0,16.0,8.0,2,6.0,13.5,5,7,57.0,0
2012_03,hulkenberg,2,1,0.5,2.0,1.0,1,15.5,12.5,9,22,28.0,1
2012_03,vergne,2,1,0.5,4.0,2.0,1,9.5,14.5,8,11,57.0,0
2012_03,ricciardo,5,1,0.2,2.0,0.4,1,16.0,18.0,9,21,57.4,1
2012_03,petrov,5,1,0.2,1.0,0.2,1,13.8,16.2,10,19,54.4,1
2012_03,glock,5,0,0.0,0.0,0.0,0,19.4,21.0,14,24,37.6,2
2012_03,pic,2,0,0.0,0.0,0.0,0,17.5,21.0,15,20,53.5,0
2012_03,rosa,2,0,0.0,0.0,0.0,0,17.0,19.5,12,22,62.0,0
2012_03,karthikeyan,5,0,0.0,0.0,0.0,0,19.2,23.0,17,24,61.6,0
2012_03,kovalainen,5,0,0.0,0.0,0.0,0,16.6,19.2,14,18,54.8,1
2012_03,michael_schumacher,5,3,0.6,17.0,3.4,3,11.4,7.2,5,20,50.2,1
2012_04,vettel,5,3,0.6,46.0,9.2,3,8.8,4.8,2,24,48.4,1
2012_04,raikkonen,3,2,0.6666666666666666,16.0,5.333333333333333,2,8.666666666666666,10.333333333333334,5,14,56.666666666666664,0
2012_04,grosjean,3,1,0.3333333333333333,8.0,2.6666666666666665,1,17.0,6.333333333333333,6,24,20.0,2
2012_04,webber,5,5,1.0,73.0,14.6,5,3.4,4.2,1,4,59.2,0
2012_04,rosberg,5,3,0.6,39.0,7.8,3,7.8,5.6,1,13,59.0,0
2012_04,resta,5,4,0.8,13.0,2.6,4,9.2,13.0,7,12,59.0,0
2012_04,alonso,5,5,1.0,67.0,13.4,5,4.2,7.8,1,9,59.2,0
2012_04,hamilton,5,4,0.8,70.0,14.0,4,6.4,3.0,1,22,54.2,1
2012_04,massa,5,2,0.4,20.0,4.0,2,11.0,10.6,5,17,56.8,1
2012_04,michael_schumacher,5,2,0.4,7.0,1.4,2,15.2,5.4,7,24,40.6,2
2012_04,perez,5,2,0.4,22.0,4.4,2,9.0,13.4,2,13,58.8,0
2012_04,hulkenberg,3,1,0.3333333333333333,2.0,0.6666666666666666,1,15.333333333333334,13.666666666666666,9,22,37.333333333333336,1
2012_04,kobayashi,5,4,0.8,12.0,2.4,4,11.6,13.0,6,23,56.8,1
2012_04,vergne,3,1,0.3333333333333333,4.0,1.3333333333333333,1,11.666666666666666,17.666666666666668,8,16,56.666666666666664,0
2012_04,ricciardo,5,1,0.2,2.0,0.4,1,15.8,16.8,9,21,57.2,1
2012_04,petrov,5,1,0.2,1.0,0.2,1,15.2,16.8,10,19,53.6,1
2012_04,kovalainen,5,0,0.0,0.0,0.0,0,18.4,19.2,16,23,53.8,1
2012_04,button,5,4,0.8,73.0,14.6,4,4.6,3.0,1,14,59.2,0
2012_04,glock,5,0,0.0,0.0,0.0,0,18.6,20.6,14,24,48.2,1
2012_04,rosa,3,0,0.0,0.0,0.0,0,18.333333333333332,20.333333333333332,12,22,59.666666666666664,0
2012_04,karthikeyan,5,0,0.0,0.0,0.0,0,20.2,23.2,17,24,57.6,0
2012_04,bruno_senna,5,2,0.4,14.0,2.8,2,12.4,12.8,6,17,57.4,1
2012_04,maldonado,5,1,0.2,4.0,0.8,1,15.4,14.6,8,23,49.4,3
2012_04,pic,3,0,0.0,0.0,0.0,0,18.333333333333332,21.0,15,20,54.0,0
2012_05,maldonado,5,1,0.2,4.0,0.8,1,17.2,14.2,8,23,43.6,4
2012_05,alonso,5,5,1.0,55.0,11.0,5,5.2,8.6,1,9,59.6,0
2012_05,raikkonen,4,3,0.75,34.0,8.5,3,7.0,10.5,2,14,56.75,0
2012_05,grosjean,4,2,0.5,23.0,5.75,2,13.5,6.5,3,24,29.25,2
2012_05,kobayashi,5,3,0.6,11.0,2.2,3,12.2,12.2,6,23,57.4,1
2012_05,vettel,5,4,0.8,71.0,14.2,4,4.2,4.8,1,11,59.6,0
2012_05,rosberg,5,3,0.6,41.0,8.2,3,7.6,5.2,1,13,59.4,0
2012_05,hamilton,5,4,0.8,49.0,9.8,4,7.8,3.0,3,22,54.6,1
2012_05,button,5,3,0.6,58.0,11.6,3,7.6,3.2,1,18,59.2,1
2012_05,hulkenberg,4,1,0.25,2.0,0.5,1,14.5,13.5,9,22,42.25,1
2012_05,webber,5,5,1.0,73.0,14.6,5,3.4,4.0,1,4,59.6,0
2012_05,vergne,4,1,0.25,4.0,1.0,1,12.25,17.5,8,16,56.75,0
2012_05,ricciardo,5,1,0.2,2.0,0.4,1,14.6,14.0,9,20,58.8,0
2012_05,resta,5,4,0.8,19.0,3.8,4,8.6,13.0,6,12,59.4,0
2012_05,massa,5,2,0.4,12.0,2.4,2,11.8,12.2,5,17,57.2,1
2012_05,kovalainen,5,0,0.0,0.0,0.0,0,18.4,19.0,16,23,54.2,1
2012_05,petrov,5,1,0.2,1.0,0.2,1,15.8,18.0,10,19,54.0,1
2012_05,glock,5,0,0.0,0.0,0.0,0,18.6,21.4,14,24,48.6,1
2012_05,rosa,4,0,0.0,0.0,0.0,0,18.75,20.25,12,22,58.5,0
2012_05,perez,5,2,0.4,22.0,4.4,2,9.0,12.8,2,13,59.4,0
2012_05,pic,4,0,0.0,0.0,0.0,0,19.75,20.5,15,24,46.5,1
