race_id,driver_id,telemetry_races_previous_3,avg_speed_previous_3_races,max_speed_previous_3_races,avg_throttle_previous_3_races,avg_brake_previous_3_races,avg_drs_previous_3_races,drs_usage_rate_previous_3_races,avg_distance_previous_3_races
2011_05,webber,3,203.62433333333334,214.226,0.0,0.0,0.0,0.0,56.666666666666664
2011_05,alonso,3,201.08100000000002,212.86,0.0,0.0,0.0,0.0,56.666666666666664
2011_05,michael_schumacher,3,199.79899999999998,210.819,0.0,0.0,0.0,0.0,56.666666666666664
2011_05,rosberg,3,200.735,212.169,0.0,0.0,0.0,0.0,56.333333333333336
2011_05,heidfeld,3,200.42600000000002,213.145,0.0,0.0,0.0,0.0,56.666666666666664
2011_05,perez,3,199.295,211.645,0.0,0.0,0.0,0.0,45.0
2011_05,kobayashi,3,199.28133333333335,211.085,0.0,0.0,0.0,0.0,56.666666666666664
2011_05,petrov,3,201.107,212.063,0.0,0.0,0.0,0.0,55.333333333333336
2011_05,resta,3,197.633,207.706,0.0,0.0,0.0,0.0,52.0
2011_05,sutil,3,198.83200000000002,208.719,0.0,0.0,0.0,0.0,55.666666666666664
2011_05,buemi,3,199.22766666666666,210.341,0.0,0.0,0.0,0.0,56.333333333333336
2011_05,maldonado,3,196.845,208.778,0.0,0.0,0.0,0.0,40.0
2011_05,alguersuari,3,197.25666666666666,213.771,0.0,0.0,0.0,0.0,40.333333333333336
2011_05,barrichello,3,196.71466666666666,208.699,0.0,0.0,0.0,0.0,45.0
2011_05,trulli,3,196.25633333333334,206.939,0.0,0.0,0.0,0.0,47.666666666666664
2011_05,glock,2,188.7,189.401,0.0,0.0,0.0,0.0,54.0
2011_05,ambrosio,3,193.00033333333332,202.343,0.0,0.0,0.0,0.0,50.666666666666664
2011_05,karthikeyan,3,190.65333333333334,204.547,0.0,0.0,0.0,0.0,41.0
2011_05,massa,3,199.84466666666665,210.9,0.0,0.0,0.0,0.0,56.666666666666664
2011_05,kovalainen,3,196.97033333333334,207.312,0.0,0.0,0.0,0.0,55.333333333333336
2011_05,liuzzi,3,193.3563333333333,202.925,0.0,0.0,0.0,0.0,51.0
2011_06,vettel,3,199.86933333333332,213.669,0.0,0.0,0.0,0.0,60.0
2011_06,alonso,3,197.98866666666666,212.86,0.0,0.0,0.0,0.0,59.666666666666664
2011_06,button,3,199.0956666666667,210.786,0.0,0.0,0.0,0.0,60.0
2011_06,webber,3,201.55499999999998,214.226,0.0,0.0,0.0,0.0,60.0
2011_06,kobayashi,3,197.88633333333334,211.085,0.0,0.0,0.0,0.0,59.666666666666664
2011_06,hamilton,3,200.63833333333332,213.264,0.0,0.0,0.0,0.0,60.0
2011_06,sutil,3,197.14833333333334,208.719,0.0,0.0,0.0,0.0,59.0
2011_06,heidfeld,3,199.16099999999997,213.145,0.0,0.0,0.0,0.0,59.666666666666664
2011_06,barrichello,3,197.96333333333334,208.699,0.0,0.0,0.0,0.0,59.0
2011_06,buemi,3,196.46733333333336,210.341,0.0,0.0,0.0,0.0,59.666666666666664
2011_06,rosberg,3,198.03566666666666,212.169,0.0,0.0,0.0,0.0,59.666666666666664
2011_06,resta,3,195.41600000000003,207.706,0.0,0.0,0.0,0.0,55.0
2011_06,trulli,3,194.60766666666666,206.939,0.0,0.0,0.0,0.0,58.666666666666664
2011_06,kovalainen,3,194.45700000000002,207.312,0.0,0.0,0.0,0.0,53.0
2011_06,ambrosio,3,190.21699999999998,202.343,0.0,0.0,0.0,0.0,57.333333333333336
2011_06,liuzzi,3,190.41100000000003,202.925,0.0,0.0,0.0,0.0,45.0
2011_06,karthikeyan,3,190.00699999999998,204.547,0.0,0.0,0.0,0.0,56.666666666666664
2011_06,maldonado,3,196.399,208.778,0.0,0.0,0.0,0.0,59.0
