race_id,driver_id,races_with_pit_data_previous_3,avg_pit_stop_time_previous_3_races,best_pit_stop_time_previous_3_races,worst_pit_stop_time_previous_3_races,total_pit_stops_previous_3_races,avg_total_pit_time_previous_3_races,avg_pit_stop_rank_previous_3_races
2011_05,petrov,3,22.802083333333332,21.323,28.694,9,68.26233333333333,13.333333333333334
2011_05,resta,3,21.886194444444442,20.775,23.977,9,65.45700000000001,9.666666666666666
2011_05,sutil,3,23.420444444444442,20.989,31.694,9,70.26133333333333,13.333333333333334
2011_05,buemi,3,23.905666666666665,21.769,29.843,9,71.717,14.0
2011_05,maldonado,3,22.413833333333333,13.925,27.62,7,77.515,16.5
2011_05,alguersuari,3,22.58966666666667,21.826,23.584,7,52.449000000000005,7.333333333333333
2011_05,barrichello,3,24.253,21.481,32.978,7,55.98066666666667,5.666666666666667
2011_05,trulli,3,23.62538888888889,22.219,25.516,6,46.31733333333333,7.333333333333333
2011_05,glock,3,25.331166666666668,21.908,33.827,5,63.732,14.0
2011_05,ambrosio,3,23.997833333333336,22.779,26.252,6,47.99566666666667,6.666666666666667
2011_05,karthikeyan,3,25.822666666666667,24.474,27.353,4,51.419,5.5
2011_05,massa,3,23.218999999999998,21.168,29.224,9,70.31666666666666,13.0
2011_05,kovalainen,3,23.643722222222223,21.633,29.084,7,54.79866666666667,8.0
2011_05,liuzzi,3,29.755305555555555,14.16,56.611,10,101.76366666666668,19.666666666666668
2011_06,vettel,3,20.793583333333334,19.887,21.995,10,68.665,11.333333333333334
2011_06,alonso,3,21.299500000000002,20.238,22.524,10,70.60633333333334,14.333333333333334
2011_06,button,3,21.34255555555556,20.015,23.779,9,64.02766666666668,8.666666666666666
2011_06,webber,3,21.098111111111113,19.984,23.442,11,77.09633333333333,16.666666666666668
2011_06,kobayashi,3,22.212944444444442,20.5,24.871,8,59.34033333333333,9.0
2011_06,hamilton,3,21.977611111111113,19.761,35.688,11,81.024,18.666666666666668
2011_06,sutil,3,22.084888888888887,20.267,28.708,9,66.25466666666667,10.0
2011_06,heidfeld,3,21.706416666666666,20.796,22.3,9,65.02766666666666,11.0
2011_06,barrichello,3,22.37708333333333,20.637,29.936,9,67.637,11.0
2011_06,buemi,3,22.330111111111112,20.818,24.745,9,66.99033333333334,11.666666666666666
2011_06,rosberg,3,20.84886111111111,19.534,22.573,10,69.60966666666666,10.666666666666666
2011_06,resta,3,20.95286111111111,20.07,21.989,9,62.657000000000004,6.666666666666667
2011_06,trulli,3,22.574277777777777,21.723,23.066,8,60.17466666666667,11.333333333333334
2011_06,kovalainen,3,22.117499999999996,20.807,23.114,8,58.95666666666667,8.666666666666666
2011_06,ambrosio,3,23.093833333333333,21.708,24.837,7,53.72833333333333,10.0
2011_06,liuzzi,3,27.11963888888889,14.16,56.611,8,78.41866666666668,13.0
2011_06,karthikeyan,3,25.391666666666666,24.298,27.353,7,58.809,9.333333333333334
2011_06,maldonado,3,22.539305555555558,13.925,27.62,11,82.06366666666666,18.666666666666668
2011_06,petrov,3,22.05441666666667,21.323,24.232,9,66.01933333333334,13.333333333333334
2011_06,alguersuari,3,21.992250000000002,20.741,23.143,9,65.55,13.666666666666666
2011_06,massa,3,22.129666666666665,20.8,26.685,9,67.04866666666668,10.333333333333334
2011_06,michael_schumacher,3,21.550749999999997,20.084,30.182,10,72.32433333333333,13.666666666666666
2011_06,glock,3,23.994000000000003,21.17,33.827,6,71.982,16.5
2011_06,perez,3,22.71766666666667,13.9,29.27,11,83.47466666666666,19.333333333333332
2011_07,button,3,22.520000000000007,20.015,26.421,9,67.56,9.333333333333334
2011_07,vettel,3,23.050916666666666,19.887,28.536,9,63.66766666666667,10.666666666666666
2011_07,webber,3,24.469333333333328,19.984,37.735,10,76.54266666666666,16.666666666666668
2011_07,michael_schumacher,3,26.14697222222222,20.084,35.084,8,62.72366666666667,10.333333333333334
2011_07,petrov,3,24.342083333333335,21.323,28.856,8,60.976,12.333333333333334
2011_07,massa,3,23.86933333333333,20.8,26.685,8,61.65633333333333,9.666666666666666
2011_07,kobayashi,3,24.461777777777773,20.5,28.642,7,54.29066666666666,8.0
2011_07,alguersuari,3,23.428749999999997,20.741,27.55,10,75.896,18.333333333333332
2011_07,barrichello,3,23.77808333333333,20.637,29.936,9,70.43900000000001,12.666666666666666
2011_07,buemi,3,23.22088888888889,20.818,26.073,8,61.143,7.666666666666667
2011_07,rosberg,3,22.195416666666663,19.534,25.31,10,73.64933333333333,12.0
2011_07,rosa,0,0.0,0.0,0.0,0,0.0,0.0
2011_07,liuzzi,3,29.649416666666667,23.157,56.611,6,67.14266666666667,9.0
2011_07,ambrosio,3,24.483500000000003,21.708,27.577,7,56.507666666666665,11.0
2011_07,glock,3,24.337833333333336,21.17,26.827,4,46.1865,6.0
2011_07,trulli,3,23.63611111111111,21.723,26.065,8,62.298333333333325,10.666666666666666
2011_07,karthikeyan,3,28.082333333333338,24.298,39.917,8,72.87333333333333,15.0
2011_07,resta,3,23.92458333333333,19.36,47.226,10,78.77333333333333,12.666666666666666
