race_id,fastf1_weather_available,fastf1_air_temp_mean,fastf1_air_temp_min,fastf1_air_temp_max,fastf1_track_temp_mean,fastf1_track_temp_min,fastf1_track_temp_max,fastf1_humidity_mean,fastf1_pressure_mean,fastf1_wind_speed_mean,fastf1_wind_direction_mean,fastf1_rainfall_rate,fastf1_wet_race
2024_21,1,21.66268656716417,20.4,23.4,25.769651741293536,23.2,29.5,85.2587064676617,926.4567164179105,0.735820895522388,188.955223880597,0.582089552238806,1.0
2024_22,1,17.825174825174823,17.0,18.6,17.723776223776223,16.6,19.9,47.86013986013986,935.8923076923078,2.8986013986013983,235.2937062937063,0.0,0.0
2024_23,1,18.926490066225167,18.2,19.7,22.77350993377484,21.9,23.8,57.25165562913907,1015.5000000000002,1.6576158940397352,105.64900662251657,0.0,0.0
2024_24,1,26.76824324324324,25.8,27.8,31.80540540540541,29.1,37.2,51.44594594594594,1017.4263513513514,1.9006756756756755,137.03378378378378,0.0,0.0
2025_01,1,15.707865168539326,15.1,16.6,18.942134831460677,18.3,19.4,78.42134831460675,1009.9016853932584,3.475280898876404,242.2865168539326,0.3258426966292135,1.0
2025_02,1,27.21558441558442,26.4,28.1,35.81688311688312,30.5,43.0,18.233766233766232,1010.4227272727276,2.188311688311688,241.4935064935065,0.0,0.0
2025_03,1,14.429999999999998,14.2,14.7,20.51428571428572,19.0,23.0,76.37142857142857,1009.3171428571428,1.202142857142857,253.25714285714287,0.0,0.0
2025_04,1,27.052531645569623,26.6,27.9,31.870253164556964,30.2,34.8,45.32911392405063,1008.125316455696,2.1056962025316457,37.0253164556962,0.0,0.0
2025_05,1,29.4838028169014,28.3,31.7,37.81971830985916,35.9,39.4,62.725352112676056,1006.7661971830984,1.0260563380281689,215.7323943661972,0.0,0.0
2025_06,1,26.573154362416112,25.9,28.0,38.69060402684564,34.8,45.2,63.02013422818792,1012.2959731543624,1.046979865771812,220.99328859060404,0.0335570469798657,1.0
2025_07,1,23.964666666666663,23.4,24.3,42.664,38.6,45.9,38.306666666666665,1009.8,3.248,285.5466666666667,0.0,0.0
2025_08,1,22.209375,21.3,22.9,43.3175,41.3,45.2,52.51875,1016.78375,0.979375,208.85,0.0,0.0
2025_09,1,29.12,28.1,30.0,48.54322580645161,46.5,50.4,54.6258064516129,1002.771612903226,1.6329032258064518,147.10967741935485,0.0,0.0
2025_10,1,24.036526946107788,22.8,25.6,49.25329341317366,47.0,50.4,27.976047904191617,1018.9281437125752,1.0377245508982034,168.82634730538922,0.0059880239520958,1.0
2025_11,1,30.347826086956523,29.1,31.3,49.1664596273292,45.7,51.9,31.981366459627328,943.3447204968944,1.6180124223602483,93.80124223602483,0.0,0.0
2025_12,1,17.91741935483871,16.0,19.6,23.578709677419354,20.0,29.6,78.3741935483871,988.776774193548,1.4832258064516128,139.00645161290322,0.1806451612903225,1.0
2025_13,1,17.030044843049332,14.5,19.0,24.09013452914799,20.7,27.6,84.4439461883408,965.047533632287,1.446188340807175,292.10762331838566,0.4573991031390134,1.0
2025_14,1,22.082165605095543,21.6,22.5,32.72993630573249,30.6,38.0,57.24203821656051,987.140127388535,2.150955414012739,258.80254777070064,0.0,0.0
2025_15,1,20.077358490566034,19.4,20.7,27.96352201257861,25.6,29.3,71.17610062893081,1006.2056603773584,2.170440251572327,195.125786163522,0.0,0.0
2025_16,1,26.76111111111111,25.9,27.4,43.28819444444444,39.8,45.9,42.60416666666666,996.7527777777776,1.9604166666666665,184.38194444444449,0.0,0.0
2025_17,1,20.55192307692308,20.3,21.1,26.107051282051284,24.0,29.0,59.833333333333336,1021.1160256410255,1.5070512820512822,160.76282051282053,0.0,0.0
2025_18,1,29.072049689440995,28.5,29.5,33.85217391304348,32.5,38.8,74.36024844720497,1010.7776397515528,1.1111801242236024,149.72049689440993,0.0372670807453416,1.0
2025_19,1,28.267532467532465,26.4,29.3,45.0448051948052,42.1,46.3,22.53246753246753,1001.1077922077924,2.0824675324675326,243.0064935064935,0.0,0.0
2025_20,1,26.405555555555555,25.4,27.1,50.58827160493828,45.7,53.2,23.234567901234566,780.8888888888889,1.847530864197531,230.4753086419753,0.0,0.0
2025_21,1,17.348026315789475,16.6,18.0,30.69276315789474,29.3,32.8,70.57236842105263,929.7085526315788,1.5098684210526316,166.6578947368421,0.0,0.0
