race_id,driver_id,driver_position_before_race,driver_points_before_race,driver_wins_before_race,driver_performance_score
2011_14,barrichello,17,4.0,0,4.0
2011_14,kobayashi,11,27.0,0,27.0
2011_14,bruno_senna,18,2.0,0,2.0
2011_14,kovalainen,24,0.0,0,0.0
2011_14,petrov,10,34.0,0,34.0
2011_14,ambrosio,20,0.0,0,0.0
2011_14,ricciardo,26,0.0,0,0.0
2011_14,liuzzi,25,0.0,0,0.0
2011_14,alguersuari,13,16.0,0,16.0
2011_14,trulli,28,0.0,0,0.0
2011_14,michael_schumacher,8,52.0,0,52.0
2011_14,glock,22,0.0,0,0.0
2011_15,button,2,185.0,2,205.0
2011_15,alonso,3,184.0,1,194.0
2011_15,vettel,1,309.0,9,399.0
2011_15,webber,4,182.0,0,182.0
2011_15,hamilton,5,168.0,2,188.0
2011_15,michael_schumacher,8,52.0,0,52.0
2011_15,massa,6,84.0,0,84.0
2011_15,perez,16,9.0,0,9.0
2011_15,petrov,10,34.0,0,34.0
2011_15,rosberg,7,62.0,0,62.0
2011_15,sutil,11,28.0,0,28.0
2011_15,resta,13,20.0,0,20.0
2011_15,kobayashi,12,27.0,0,27.0
2011_15,maldonado,19,1.0,0,1.0
2011_15,alguersuari,14,16.0,0,16.0
2011_15,bruno_senna,18,2.0,0,2.0
2011_15,barrichello,17,4.0,0,4.0
2011_15,kovalainen,24,0.0,0,0.0
2011_15,trulli,28,0.0,0,0.0
2011_15,glock,22,0.0,0,0.0
2011_15,ambrosio,20,0.0,0,0.0
2011_15,ricciardo,26,0.0,0,0.0
2011_15,liuzzi,25,0.0,0,0.0
2011_15,buemi,15,13.0,0,13.0
2011_16,vettel,1,324.0,9,414.0
2011_16,hamilton,5,178.0,2,198.0
2011_16,webber,4,194.0,0,194.0
2011_16,button,2,210.0,3,240.0
2011_16,alonso,3,202.0,1,212.0
2011_16,massa,6,90.0,0,90.0
2011_16,alguersuari,14,16.0,0,16.0
2011_16,rosberg,7,63.0,0,63.0
2011_16,buemi,15,13.0,0,13.0
2011_16,resta,13,20.0,0,20.0
2011_16,sutil,11,28.0,0,28.0
2011_16,barrichello,17,4.0,0,4.0
2011_16,bruno_senna,18,2.0,0,2.0
2011_16,kovalainen,24,0.0,0,0.0
2011_16,kobayashi,12,27.0,0,27.0
2011_16,perez,16,13.0,0,13.0
2011_16,trulli,28,0.0,0,0.0
2011_16,glock,22,0.0,0,0.0
2011_16,ricciardo,26,0.0,0,0.0
2011_16,ambrosio,20,0.0,0,0.0
2011_16,liuzzi,25,0.0,0,0.0
2011_16,maldonado,19,1.0,0,1.0
2011_16,petrov,9,36.0,0,36.0
2011_16,michael_schumacher,8,60.0,0,60.0
2011_17,vettel,1,349.0,10,449.0
2011_17,button,2,222.0,3,252.0
2011_17,alonso,3,212.0,1,222.0
2011_17,webber,4,209.0,0,209.0
2011_17,michael_schumacher,8,60.0,0,60.0
2011_17,rosberg,7,67.0,0,67.0
2011_17,hamilton,5,196.0,2,216.0
2011_17,alguersuari,13,22.0,0,22.0
2011_17,sutil,11,28.0,0,28.0
2011_17,perez,16,13.0,0,13.0
2011_17,petrov,9,36.0,0,36.0
2011_17,bruno_senna,18,2.0,0,2.0
2011_17,resta,14,21.0,0,21.0
2011_17,kovalainen,24,0.0,0,0.0
2011_17,barrichello,17,4.0,0,4.0
2011_17,ambrosio,20,0.0,0,0.0
2011_17,karthikeyan,23,0.0,0,0.0
2011_17,ricciardo,26,0.0,0,0.0
2011_17,trulli,28,0.0,0,0.0
2011_17,massa,6,98.0,0,98.0
2011_17,buemi,15,15.0,0,15.0
2011_17,maldonado,19,1.0,0,1.0
2011_17,glock,22,0.0,0,0.0
2011_17,kobayashi,12,27.0,0,27.0
2011_18,hamilton,5,202.0,2,222.0
2011_18,alonso,3,227.0,1,237.0
2011_18,button,2,240.0,3,270.0
2011_18,webber,4,221.0,0,221.0
2011_18,massa,6,98.0,0,98.0
2011_18,rosberg,7,75.0,0,75.0
2011_18,michael_schumacher,8,70.0,0,70.0
2011_18,sutil,11,30.0,0,30.0
2011_18,resta,14,21.0,0,21.0
2011_18,kobayashi,12,27.0,0,27.0
2011_18,perez,16,14.0,0,14.0
2011_18,barrichello,17,4.0,0,4.0
2011_18,petrov,9,36.0,0,36.0
