race_id,driver_id,fastf1_current_lap_data_available,fastf1_current_lap_count,fastf1_current_accurate_lap_count,fastf1_current_avg_lap_time,fastf1_current_best_lap_time,fastf1_current_lap_time_std,fastf1_current_avg_position,fastf1_current_best_position,fastf1_current_worst_position,fastf1_current_avg_tyre_life,fastf1_current_stint_count,fastf1_current_compound_count,fastf1_current_wet_lap_rate,fastf1_current_soft_lap_rate,fastf1_current_medium_lap_rate,fastf1_current_hard_lap_rate,fastf1_current_intermediate_lap_rate,fastf1_current_speedi1_mean,fastf1_current_speedi2_mean,fastf1_current_speedfl_mean,fastf1_current_speedst_mean
2024_02,kevin_magnussen,1,49,46,96.91802040816329,92.338,8.936251052714136,11.93877551020408,11.0,13.0,19.857142857142858,2,2,0.0,0.0,0.1428571428571428,0.8571428571428571,0.0,281.2244897959184,300.46938775510205,298.6666666666667,306.6326530612245
2024_02,leclerc,1,48,46,94.10120833333332,91.632,4.5919481384916825,3.395833333333333,2.0,5.0,20.229166666666668,2,2,0.0,0.0,0.1458333333333333,0.8541666666666666,0.0,285.4791666666667,297.7083333333333,294.2340425531915,307.2291666666667
2024_02,max_verstappen,1,48,46,93.60822916666666,91.773,4.332084689844214,1.0625,1.0,2.0,20.229166666666668,2,2,0.0,0.0,0.1458333333333333,0.8541666666666666,0.0,288.9166666666667,298.125,294.531914893617,304.1666666666667
2024_02,norris,1,48,44,94.85802083333331,91.944,5.4589108898875285,4.791666666666667,1.0,8.0,17.8125,2,2,0.0,0.2708333333333333,0.7291666666666666,0.0,0.0,284.1458333333333,296.0416666666667,290.7659574468085,299.6041666666667
2024_02,ocon,1,48,45,97.31054166666668,93.481,8.794762667250545,13.8125,12.0,16.0,19.375,2,2,0.0,0.0,0.1458333333333333,0.8541666666666666,0.0,281.8958333333333,309.4583333333333,302.8936170212766,316.6041666666667
2024_02,perez,1,48,46,93.86772916666666,92.273,4.580762026033365,2.2916666666666665,2.0,4.0,20.229166666666668,2,2,0.0,0.0,0.1458333333333333,0.8541666666666666,0.0,287.4791666666667,303.0,296.63829787234044,309.4375
2024_02,piastri,1,48,46,94.4689375,92.31,4.843055437970994,5.145833333333333,4.0,6.0,21.08333333333333,2,2,0.0,0.0,0.1458333333333333,0.8541666666666666,0.0,287.9375,307.6666666666667,299.17021276595744,312.6666666666667
2024_02,ricciardo,1,48,45,97.29741666666666,93.323,7.386317287822725,16.8125,14.0,18.0,19.375,2,2,0.0,0.0,0.1458333333333333,0.8541666666666666,0.0,280.4375,304.7708333333333,299.6170212765957,316.1666666666667
2024_02,russell,1,48,46,94.7531875,92.254,5.173804465994416,7.375,6.0,9.0,20.229166666666668,2,2,0.0,0.0,0.1458333333333333,0.8541666666666666,0.0,288.75,314.4375,300.3191489361702,315.8958333333333
2024_02,sargeant,1,48,45,97.349375,93.026,8.673728774833522,16.229166666666668,15.0,18.0,19.375,2,2,0.0,0.0,0.1458333333333333,0.8541666666666666,0.0,284.6458333333333,308.7291666666667,304.531914893617,318.75
2024_02,stroll,1,5,4,97.1216,95.56,2.659280699738184,9.0,9.0,9.0,4.0,1,1,0.0,0.0,1.0,0.0,0.0,284.0,303.2,291.4,304.6
2024_02,tsunoda,1,48,45,97.27591666666667,93.523,9.090071705880847,12.958333333333334,9.0,15.0,19.375,2,2,0.0,0.0,0.1458333333333333,0.8541666666666666,0.0,282.75,308.6041666666667,303.1914893617021,324.0
2024_02,zhou,1,48,43,98.04847916666668,92.208,11.13221610909373,13.020833333333334,10.0,19.0,18.52083333333333,2,2,0.0,0.1666666666666666,0.8333333333333334,0.0,0.0,279.75,298.1875,291.48936170212767,301.5208333333333
2024_03,albon,1,57,50,84.76933333333334,81.618,5.486670777641231,12.333333333333334,10.0,16.0,12.578947368421051,3,2,0.0,0.0,0.1052631578947368,0.8947368421052632,0.0,270.5964912280702,304.2105263157895,289.05454545454546,297.8421052631579
