x,y,z,cluster,top10_probability,target,season,round,race_id,grand_prix,driver_id,driver_code,constructor_name,grid,final_position
-0.313710913346649,2.207379075717604,-1.1595966440350245,3,0.6264162330265124,1,2010,2,2010_02,Australian Grand Prix,michael_schumacher,MSC,Mercedes,7,10
-0.7985552896824342,1.7659371012327523,-1.038909569586004,3,0.5334643661120329,0,2010,2,2010_02,Australian Grand Prix,sutil,SUT,Force India,10,18
-3.2109825701326242,-0.5384706645599688,-1.1150764735472192,6,0.014821937724731057,0,2010,2,2010_02,Australian Grand Prix,trulli,TRU,Lotus,20,24
0.09315741314811396,2.560812221542222,-0.8688891725404237,3,0.7647426127549113,1,2010,2,2010_02,Australian Grand Prix,webber,WEB,Red Bull,2,9
-2.296867316895154,0.9714385007064245,-0.5391022135595732,1,0.2356828437054557,1,2010,3,2010_03,Malaysian Grand Prix,alguersuari,ALG,Toro Rosso,14,9
-0.8774139687898186,1.9756515994523272,-0.34925971499144814,3,0.4854273756850329,0,2010,3,2010_03,Malaysian Grand Prix,barrichello,BAR,Williams,7,12
-2.9091860889324095,-0.6559430854995913,-0.46788812904258237,6,0.022643995482917657,0,2010,3,2010_03,Malaysian Grand Prix,bruno_senna,SEN,HRT,23,16
-3.2269163084999417,-0.6997647546898227,-0.3574875538983179,6,0.012523016826945392,0,2010,3,2010_03,Malaysian Grand Prix,chandhok,CHA,HRT,22,15
-2.919144914172184,-0.8095012852426836,-0.7096464035960991,6,0.022755532625143928,0,2010,3,2010_03,Malaysian Grand Prix,glock,GLO,Virgin,16,23
-3.005502946961465,-0.9387921521368178,-0.6407861758743605,6,0.014212243755544826,0,2010,3,2010_03,Malaysian Grand Prix,grassi,DIG,Virgin,24,14
-0.9676976427024477,1.8917007204972978,-1.2343614105807594,3,0.560258046669903,1,2010,3,2010_03,Malaysian Grand Prix,hulkenberg,HUL,Williams,5,10
-1.74367877547808,1.3629759232243823,-1.166331622069077,3,0.26789326749342934,0,2010,3,2010_03,Malaysian Grand Prix,kobayashi,KOB,Sauber,9,22
-2.9822351820690645,-0.7564318248348927,-0.13821463247519097,6,0.02456252488157451,0,2010,3,2010_03,Malaysian Grand Prix,kovalainen,KOV,Lotus,15,18
-0.4922110379563684,2.068886688687758,-0.726002089178866,3,0.7527236820004337,1,2010,3,2010_03,Malaysian Grand Prix,kubica,KUB,Renault,6,4
-0.4766090603035417,2.1870542422796904,-0.5646738524187159,3,0.6368589493096477,0,2010,3,2010_03,Malaysian Grand Prix,michael_schumacher,MSC,Mercedes,8,21
-2.2771154182165927,0.27143155109686434,-0.40280775152861115,6,0.11043199911523648,0,2010,3,2010_03,Malaysian Grand Prix,rosa,DLR,Sauber,12,24
0.1490546810278762,2.3743289888562384,-0.9296117448542093,3,0.8122844174890184,1,2010,3,2010_03,Malaysian Grand Prix,rosberg,ROS,Mercedes,2,3
-0.3959496632933532,1.817159544522131,-0.5831383860514983,3,0.6811470468495099,1,2010,3,2010_03,Malaysian Grand Prix,sutil,SUT,Force India,4,5
0.16889029772030742,2.4052644356776822,-0.32318138663045737,3,0.8033558028803438,1,2010,3,2010_03,Malaysian Grand Prix,webber,WEB,Red Bull,1,2
-2.78988188923221,0.556519075037473,-1.4529065386900752,6,0.17851364846594658,0,2010,4,2010_04,Chinese Grand Prix,alguersuari,ALG,Toro Rosso,12,13
0.9433660399645053,2.0404401317928142,-1.752091416514308,3,0.9087869999118443,1,2010,4,2010_04,Chinese Grand Prix,alonso,ALO,Ferrari,3,4
